X,Y,LT,LD,SL,DD,RF,LULC,SO,AL,TWI,PC,Yields,Class
790295.0,9218762.0,6.0,0.0,11.115,3.552,3948.555,4.0,3.0,903.0,4.799,-3.0,2.24,2.0
802798.0,9233878.0,17.0,0.651,16.254,2.43,4811.228,4.0,3.0,793.0,4.5,4.0,2.36,2.0
801560.0,9233271.0,17.0,0.0,6.505,2.191,4769.995,4.0,4.0,742.0,8.79,-1.0,2.44,2.0
768142.0,9210309.0,12.0,0.233,12.965,1.652,3317.476,4.0,2.0,1495.0,6.424,0.0,2.5,2.0
785265.0,9214908.0,6.0,1.028,4.574,1.682,3765.09,1.0,2.0,985.0,6.255,0.0,2.53,2.0
766212.0,9211152.0,12.0,0.873,2.429,1.713,3325.087,5.0,2.0,1554.0,10.635,2.0,2.56,2.0
813928.0,9218829.0,5.0,0.24,9.664,2.506,3974.056,1.0,2.0,1110.0,6.456,4.0,2.6,2.0
772298.0,9213254.0,12.0,0.853,4.714,1.527,3390.817,1.0,2.0,1149.0,6.643,1.0,2.6,2.0
800911.0,9235294.0,17.0,0.0,6.455,1.94,4878.608,4.0,3.0,812.0,4.705,-3.0,2.66,2.0
767930.0,9211343.0,12.0,0.159,9.16,0.579,3331.059,4.0,2.0,1462.0,5.784,0.0,2.75,2.0
769537.0,9213519.0,12.0,0.305,4.045,0.639,3396.678,4.0,2.0,1297.0,5.98,0.0,3.0,2.0
774761.0,9214349.0,12.0,1.385,4.355,4.726,3565.927,1.0,2.0,1111.0,6.62,1.0,3.0,2.0
795212.0,9239058.0,11.0,0.626,8.284,2.921,5057.207,1.0,3.0,893.0,5.633,3.0,3.0,2.0
797798.0,9237798.0,11.0,0.0,7.929,1.818,4955.129,1.0,3.0,870.0,4.482,-3.0,3.0,2.0
801130.0,9239824.0,17.0,1.373,15.218,4.808,5162.302,5.0,3.0,1244.0,4.637,-4.0,3.0,2.0
799688.0,9221992.0,4.0,0.0,1.811,4.588,4043.149,1.0,3.0,694.0,11.631,-3.0,3.19,2.0
812943.0,9224675.0,5.0,0.381,4.917,1.451,4309.066,1.0,2.0,735.0,5.884,-4.0,3.42,2.0
815754.0,9228570.0,10.0,0.711,13.895,3.332,4564.945,1.0,2.0,883.0,5.756,-8.0,3.7,2.0
772682.0,9210494.0,12.0,0.405,11.115,4.302,3281.35,1.0,2.0,1393.0,4.239,-4.0,3.8,2.0
819239.0,9224752.0,11.0,0.758,8.549,3.38,4340.443,1.0,2.0,909.0,8.121,0.0,4.0,2.0
821103.0,9221325.0,11.0,0.602,16.821,3.072,4162.721,4.0,2.0,773.0,4.664,-1.0,4.2,2.0
810729.0,9222316.0,5.0,0.152,11.31,1.346,4178.12,1.0,2.0,714.0,6.542,-1.0,4.96,2.0
778041.0,9210054.0,6.0,0.832,12.182,3.829,3432.061,1.0,2.0,1335.0,5.492,-4.0,5.0,2.0
810085.0,9215728.0,3.0,1.063,9.399,4.457,3912.24,5.0,2.0,1214.0,4.697,-2.0,5.0,2.0
799909.0,9238517.0,11.0,1.275,12.87,3.241,5047.5,1.0,3.0,1028.0,5.909,-2.0,5.0,2.0
800958.0,9239790.0,17.0,1.332,14.303,5.016,5150.923,5.0,3.0,1218.0,5.752,-4.0,5.0,2.0
